iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"759,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WFC","WELLS FARGO","Financials","Equity","1,594,176,472.50","0.53","1,594,176,472.50","34,283,365.00","46.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,542,394,289.80","0.51","1,542,394,289.80","5,917,492.00","260.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,512,648,637.20","0.50","1,512,648,637.20","16,477,654.00","91.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,508,591,042.97","0.50","1,508,591,042.97","4,504,467.00","334.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,494,741,318.20","0.49","1,494,741,318.20","19,299,436.00","77.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,479,591,259.30","0.49","1,479,591,259.30","11,506,270.00","128.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,477,514,854.40","0.49","1,477,514,854.40","17,758,592.00","83.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,463,319,180.15","0.48","1,463,319,180.15","37,958,993.00","38.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,446,726,482.52","0.48","1,446,726,482.52","8,258,514.00","175.18","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,399,539,454.30","0.46","1,399,539,454.30","4,230,005.00","330.86","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,389,035,083.82","0.46","1,389,035,083.82","4,834,958.00","287.29","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,373,222,716.50","0.45","1,373,222,716.50","39,803,557.00","34.50","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,348,988,708.00","0.45","1,348,988,708.00","14,011,100.00","96.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","1,331,364,579.04","0.44","1,331,364,579.04","8,993,276.00","148.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,306,303,847.79","0.43","1,306,303,847.79","6,089,143.00","214.53","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","1,272,619,918.72","0.42","1,272,619,918.72","13,345,427.00","95.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,257,102,270.00","0.42","1,257,102,270.00","10,150,200.00","123.85","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,221,822,245.07","0.40","1,221,822,245.07","64,408,131.00","18.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,212,712,707.64","0.40","1,212,712,707.64","5,776,748.00","209.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","1,205,239,208.60","0.40","1,205,239,208.60","8,163,365.00","147.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,204,053,159.54","0.40","1,204,053,159.54","11,421,487.00","105.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,188,584,274.88","0.39","1,188,584,274.88","5,644,336.00","210.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,183,858,093.77","0.39","1,183,858,093.77","6,614,841.00","178.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","1,169,959,411.20","0.39","1,169,959,411.20","3,085,336.00","379.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,157,524,954.74","0.38","1,157,524,954.74","4,019,463.00","287.98","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,155,151,595.40","0.38","1,155,151,595.40","11,865,964.00","97.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
